Date,AQS_SITE_ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2011,490490002,1,8.6,ug/m3 LC,36,1,100,88101,PM2.5 - Local Conditions,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.253611,-111.663056
1/2/2011,490490002,1,10,ug/m3 LC,42,1,100,88101,PM2.5 - Local Conditions,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.253611,-111.663056
1/10/2011,490490002,1,12.1,ug/m3 LC,51,1,100,88101,PM2.5 - Local Conditions,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.253611,-111.663056
1/11/2011,490490002,1,12.5,ug/m3 LC,52,1,100,88101,PM2.5 - Local Conditions,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.253611,-111.663056
1/12/2011,490490002,1,22.8,ug/m3 LC,74,1,100,88101,PM2.5 - Local Conditions,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.253611,-111.663056
1/13/2011,490490002,1,30.1,ug/m3 LC,89,1,100,88101,PM2.5 - Local Conditions,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.253611,-111.663056
1/14/2011,490490002,1,50.2,ug/m3 LC,137,1,100,88101,PM2.5 - Local Conditions,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.253611,-111.663056
1/15/2011,490490002,1,44.8,ug/m3 LC,124,1,100,88101,PM2.5 - Local Conditions,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.253611,-111.663056
1/16/2011,490490002,1,33,ug/m3 LC,95,1,100,88101,PM2.5 - Local Conditions,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.253611,-111.663056
1/17/2011,490490002,1,10.8,ug/m3 LC,45,1,100,88101,PM2.5 - Local Conditions,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.253611,-111.663056
